node3  | [crypto] Generated keypair for node3
node4  | 09:45:16 [node4] INFO [PBFT] ✓ CONSENSUS REACHED  seq=3  tx=TX-0003-1780825516391
node4  | 09:45:16 [node4] INFO [PBFT] Sent COMMIT  seq=3
node4  | 09:45:16 [node4] INFO [PBFT] Sent COMMIT  seq=3
node4  | 09:45:16 [node4] INFO [PBFT] Sent COMMIT  seq=3
node4  | 09:45:16 [node4] INFO [PBFT] Sent COMMIT  seq=3
node4  | 09:45:17 [node4] INFO [PBFT] Accepted PRE-PREPARE seq=4 from node5
node4  | 09:45:17 [node4] INFO [PBFT] PREPARE quorum reached seq=4 (3 votes)
node4  | 09:45:17 [node4] INFO [PBFT] PREPARE quorum reached seq=4 (4 votes)
node4  | 09:45:17 [node4] INFO [PBFT] PREPARE quorum reached seq=4 (5 votes)
node4  | 09:45:17 [node4] INFO [PBFT] Sent PREPARE  seq=4
node4  | 09:45:17 [node4] INFO [LEDGER] Committed tx: TX-0004-1780825517391  (total=4)
node4  | 09:45:17 [node4] INFO [PBFT] ✓ CONSENSUS REACHED  seq=4  tx=TX-0004-1780825517391
node4  | 09:45:17 [node4] INFO [PBFT] Sent COMMIT  seq=4
node4  | 09:45:17 [node4] INFO [PBFT] Sent COMMIT  seq=4
node4  | 09:45:17 [node4] INFO [PBFT] Sent COMMIT  seq=4
node4  | 09:45:18 [node4] INFO [PBFT] Accepted PRE-PREPARE seq=5 from node5
node4  | 09:45:18 [node4] INFO [PBFT] Sent PREPARE  seq=5
node4  | 09:45:18 [node4] INFO [PBFT] PREPARE quorum reached seq=5 (3 votes)
node4  | 09:45:18 [node4] INFO [PBFT] PREPARE quorum reached seq=5 (4 votes)
node4  | 09:45:18 [node4] INFO [LEDGER] Committed tx: TX-0005-1780825518395  (total=5)
node4  | 09:45:18 [node4] INFO [PBFT] ✓ CONSENSUS REACHED  seq=5  tx=TX-0005-1780825518395
node4  | 09:45:18 [node4] INFO [PBFT] Sent COMMIT  seq=5
node4  | 09:45:18 [node4] INFO [PBFT] Sent COMMIT  seq=5
node4  | 09:45:18 [node4] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=5 — IGNORED
node4  | 09:45:19 [node4] INFO [PBFT] Accepted PRE-PREPARE seq=6 from node5
node4  | 09:45:19 [node4] INFO [PBFT] PREPARE quorum reached seq=6 (3 votes)
node4  | 09:45:19 [node4] INFO [PBFT] PREPARE quorum reached seq=6 (4 votes)
node4  | 09:45:19 [node4] INFO [PBFT] Sent PREPARE  seq=6
node4  | 09:45:19 [node4] INFO [LEDGER] Committed tx: TX-0006-1780825519398  (total=6)
node4  | 09:45:19 [node4] INFO [PBFT] ✓ CONSENSUS REACHED  seq=6  tx=TX-0006-1780825519398
node4  | 09:45:19 [node4] INFO [PBFT] Sent COMMIT  seq=6
node4  | 09:45:19 [node4] INFO [PBFT] Sent COMMIT  seq=6
node4  | 09:45:20 [node4] INFO [PBFT] Accepted PRE-PREPARE seq=7 from node5
node4  | 09:45:20 [node4] INFO [PBFT] Sent PREPARE  seq=7
node4  | 09:45:20 [node4] INFO [PBFT] PREPARE quorum reached seq=7 (3 votes)
node4  | 09:45:20 [node4] INFO [PBFT] PREPARE quorum reached seq=7 (4 votes)
node4  | 09:45:20 [node4] INFO [PBFT] PREPARE quorum reached seq=7 (5 votes)
node4  | 09:45:20 [node4] INFO [LEDGER] Committed tx: TX-0007-1780825520400  (total=7)
node4  | 09:45:20 [node4] INFO [PBFT] ✓ CONSENSUS REACHED  seq=7  tx=TX-0007-1780825520400
node4  | 09:45:20 [node4] INFO [PBFT] Sent COMMIT  seq=7
node4  | 09:45:20 [node4] INFO [PBFT] Sent COMMIT  seq=7
node4  | 09:45:20 [node4] INFO [PBFT] Sent COMMIT  seq=7
node4  | 09:45:21 [node4] INFO [PBFT] Accepted PRE-PREPARE seq=8 from node5
node4  | 09:45:21 [node4] INFO [PBFT] Sent PREPARE  seq=8
node4  | 09:45:21 [node4] INFO [PBFT] PREPARE quorum reached seq=8 (3 votes)
node1  | [crypto] Generated keypair for node1
node1  | [entrypoint] Generated keys for node1
node1  | [entrypoint] Starting node node1 mode=B
node1  | 09:43:33 [node1] INFO Node node1 listening on :5001  mode=B
node1  | 09:43:40 [node1] INFO [ELECTION] New coordinator: node5
node1  | 09:45:14 [node1] INFO [CLIENT] Received transaction: TX-0001-1780825514380
node1  | 09:45:14 [node1] INFO [PBFT] Accepted PRE-PREPARE seq=1 from node5
node1  | 09:45:14 [node1] INFO [PBFT] PREPARE quorum reached seq=1 (3 votes)
node1  | 09:45:14 [node1] INFO [PBFT] PREPARE quorum reached seq=1 (4 votes)
node1  | 09:45:14 [node1] INFO [PBFT] PREPARE quorum reached seq=1 (5 votes)
node1  | 09:45:14 [node1] INFO [PBFT] PREPARE quorum reached seq=1 (6 votes)
node1  | 09:45:14 [node1] INFO [PBFT] Sent PREPARE  seq=1
node1  | 09:45:14 [node1] INFO [PBFT] Sent COMMIT  seq=1
node1  | 09:45:14 [node1] INFO [LEDGER] Committed tx: TX-0001-1780825514380  (total=1)
node1  | 09:45:14 [node1] INFO [PBFT] ✓ CONSENSUS REACHED  seq=1  tx=TX-0001-1780825514380
node1  | 09:45:14 [node1] INFO [PBFT] Sent COMMIT  seq=1
node1  | 09:45:14 [node1] INFO [PBFT] Sent COMMIT  seq=1
node1  | 09:45:14 [node1] INFO [PBFT] Sent COMMIT  seq=1
node1  | 09:45:15 [node1] INFO [PBFT] Accepted PRE-PREPARE seq=2 from node5
node1  | 09:45:15 [node1] INFO [PBFT] Sent PREPARE  seq=2
node1  | 09:45:15 [node1] INFO [PBFT] PREPARE quorum reached seq=2 (3 votes)
node1  | 09:45:15 [node1] INFO [PBFT] PREPARE quorum reached seq=2 (4 votes)
node1  | 09:45:15 [node1] INFO [LEDGER] Committed tx: TX-0002-1780825515388  (total=2)
node1  | 09:45:15 [node1] INFO [PBFT] ✓ CONSENSUS REACHED  seq=2  tx=TX-0002-1780825515388
node1  | 09:45:15 [node1] INFO [PBFT] Sent COMMIT  seq=2
node1  | 09:45:15 [node1] INFO [PBFT] Sent COMMIT  seq=2
node1  | 09:45:15 [node1] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=2 — IGNORED
node1  | 09:45:16 [node1] INFO [PBFT] Accepted PRE-PREPARE seq=3 from node5
node1  | 09:45:16 [node1] INFO [PBFT] PREPARE quorum reached seq=3 (3 votes)
node1  | 09:45:16 [node1] INFO [PBFT] PREPARE quorum reached seq=3 (4 votes)
node1  | 09:45:16 [node1] INFO [PBFT] PREPARE quorum reached seq=3 (5 votes)
node1  | 09:45:16 [node1] INFO [PBFT] Sent PREPARE  seq=3
node1  | 09:45:16 [node1] INFO [PBFT] PREPARE quorum reached seq=3 (6 votes)
node1  | 09:45:16 [node1] INFO [PBFT] Sent COMMIT  seq=3
node1  | 09:45:16 [node1] INFO [LEDGER] Committed tx: TX-0003-1780825516391  (total=3)
node1  | 09:45:16 [node1] INFO [PBFT] ✓ CONSENSUS REACHED  seq=3  tx=TX-0003-1780825516391
node1  | 09:45:16 [node1] INFO [PBFT] Sent COMMIT  seq=3
node1  | 09:45:16 [node1] INFO [PBFT] Sent COMMIT  seq=3
node1  | 09:45:16 [node1] INFO [PBFT] Sent COMMIT  seq=3
node1  | 09:45:17 [node1] INFO [PBFT] Accepted PRE-PREPARE seq=4 from node5
node1  | 09:45:17 [node1] INFO [PBFT] PREPARE quorum reached seq=4 (3 votes)
node1  | 09:45:17 [node1] INFO [PBFT] PREPARE quorum reached seq=4 (4 votes)
node1  | 09:45:17 [node1] INFO [PBFT] Sent PREPARE  seq=4
node1  | 09:45:17 [node1] INFO [PBFT] PREPARE quorum reached seq=4 (5 votes)
node1  | 09:45:17 [node1] INFO [PBFT] PREPARE quorum reached seq=4 (6 votes)
node1  | 09:45:17 [node1] INFO [PBFT] Sent COMMIT  seq=4
node1  | 09:45:17 [node1] INFO [LEDGER] Committed tx: TX-0004-1780825517391  (total=4)
node1  | 09:45:17 [node1] INFO [PBFT] ✓ CONSENSUS REACHED  seq=4  tx=TX-0004-1780825517391
node1  | 09:45:17 [node1] INFO [PBFT] Sent COMMIT  seq=4
node1  | 09:45:17 [node1] INFO [PBFT] Sent COMMIT  seq=4
node1  | 09:45:17 [node1] INFO [PBFT] Sent COMMIT  seq=4
node1  | 09:45:18 [node1] INFO [CLIENT] Received transaction: TX-0005-1780825518395
node1  | 09:45:18 [node1] INFO [PBFT] Accepted PRE-PREPARE seq=5 from node5
node1  | 09:45:18 [node1] INFO [PBFT] Sent PREPARE  seq=5
node1  | 09:45:18 [node1] INFO [PBFT] PREPARE quorum reached seq=5 (3 votes)
node1  | 09:45:18 [node1] INFO [PBFT] PREPARE quorum reached seq=5 (4 votes)
node1  | 09:45:18 [node1] INFO [PBFT] PREPARE quorum reached seq=5 (5 votes)
node1  | 09:45:18 [node1] INFO [PBFT] PREPARE quorum reached seq=5 (6 votes)
node1  | 09:45:18 [node1] INFO [LEDGER] Committed tx: TX-0005-1780825518395  (total=5)
node1  | 09:45:18 [node1] INFO [PBFT] ✓ CONSENSUS REACHED  seq=5  tx=TX-0005-1780825518395
node1  | 09:45:18 [node1] INFO [PBFT] Sent COMMIT  seq=5
node1  | 09:45:18 [node1] INFO [PBFT] Sent COMMIT  seq=5
node1  | 09:45:18 [node1] INFO [PBFT] Sent COMMIT  seq=5
node1  | 09:45:18 [node1] INFO [PBFT] Sent COMMIT  seq=5
node1  | 09:45:19 [node1] INFO [PBFT] Accepted PRE-PREPARE seq=6 from node5
node1  | 09:45:19 [node1] INFO [PBFT] Sent PREPARE  seq=6
node1  | 09:45:19 [node1] INFO [PBFT] PREPARE quorum reached seq=6 (3 votes)
node1  | 09:45:19 [node1] INFO [PBFT] PREPARE quorum reached seq=6 (4 votes)
node1  | 09:45:19 [node1] INFO [PBFT] Sent COMMIT  seq=6
node1  | 09:45:19 [node1] INFO [PBFT] Sent COMMIT  seq=6
node1  | 09:45:19 [node1] INFO [PBFT] PREPARE quorum reached seq=6 (5 votes)
node1  | 09:45:19 [node1] INFO [LEDGER] Committed tx: TX-0006-1780825519398  (total=6)
node1  | 09:45:19 [node1] INFO [PBFT] ✓ CONSENSUS REACHED  seq=6  tx=TX-0006-1780825519398
node1  | 09:45:19 [node1] INFO [PBFT] Sent COMMIT  seq=6
node1  | 09:45:20 [node1] INFO [PBFT] Accepted PRE-PREPARE seq=7 from node5
node3  | 09:45:16 [node3] INFO [PBFT] Sent COMMIT  seq=3
node3  | 09:45:16 [node3] INFO [PBFT] Sent COMMIT  seq=3
node3  | 09:45:16 [node3] INFO [PBFT] Sent COMMIT  seq=3
node3  | 09:45:16 [node3] INFO [PBFT] Sent COMMIT  seq=3
node3  | 09:45:17 [node3] INFO [CLIENT] Received transaction: TX-0004-1780825517391
node3  | 09:45:17 [node3] INFO [PBFT] Accepted PRE-PREPARE seq=4 from node5
node3  | 09:45:17 [node3] INFO [PBFT] Sent PREPARE  seq=4
node3  | 09:45:17 [node3] INFO [PBFT] PREPARE quorum reached seq=4 (3 votes)
node3  | 09:45:17 [node3] INFO [PBFT] PREPARE quorum reached seq=4 (4 votes)
node3  | 09:45:17 [node3] INFO [PBFT] PREPARE quorum reached seq=4 (5 votes)
node3  | 09:45:17 [node3] INFO [PBFT] PREPARE quorum reached seq=4 (6 votes)
node3  | 09:45:17 [node3] INFO [LEDGER] Committed tx: TX-0004-1780825517391  (total=4)
node3  | 09:45:17 [node3] INFO [PBFT] ✓ CONSENSUS REACHED  seq=4  tx=TX-0004-1780825517391
node3  | 09:45:17 [node3] INFO [PBFT] Sent COMMIT  seq=4
node3  | 09:45:17 [node3] INFO [PBFT] Sent COMMIT  seq=4
node3  | 09:45:17 [node3] INFO [PBFT] Sent COMMIT  seq=4
node3  | 09:45:17 [node3] INFO [PBFT] Sent COMMIT  seq=4
node3  | 09:45:18 [node3] INFO [PBFT] Accepted PRE-PREPARE seq=5 from node5
node3  | 09:45:18 [node3] INFO [PBFT] PREPARE quorum reached seq=5 (3 votes)
node3  | 09:45:18 [node3] INFO [PBFT] PREPARE quorum reached seq=5 (4 votes)
node3  | 09:45:18 [node3] INFO [PBFT] Sent PREPARE  seq=5
node3  | 09:45:18 [node3] INFO [PBFT] Sent COMMIT  seq=5
node3  | 09:45:18 [node3] INFO [PBFT] Sent COMMIT  seq=5
node3  | 09:45:18 [node3] INFO [PBFT] PREPARE quorum reached seq=5 (5 votes)
node3  | 09:45:18 [node3] INFO [PBFT] PREPARE quorum reached seq=5 (6 votes)
node3  | 09:45:18 [node3] INFO [LEDGER] Committed tx: TX-0005-1780825518395  (total=5)
node3  | 09:45:18 [node3] INFO [PBFT] ✓ CONSENSUS REACHED  seq=5  tx=TX-0005-1780825518395
node3  | 09:45:18 [node3] INFO [PBFT] Sent COMMIT  seq=5
node3  | 09:45:18 [node3] INFO [PBFT] Sent COMMIT  seq=5
node3  | 09:45:19 [node3] INFO [PBFT] Accepted PRE-PREPARE seq=6 from node5
node3  | 09:45:19 [node3] INFO [PBFT] PREPARE quorum reached seq=6 (3 votes)
node3  | 09:45:19 [node3] INFO [PBFT] Sent PREPARE  seq=6
node3  | 09:45:19 [node3] INFO [PBFT] Sent COMMIT  seq=6
node3  | 09:45:19 [node3] INFO [PBFT] PREPARE quorum reached seq=6 (4 votes)
node3  | 09:45:19 [node3] INFO [LEDGER] Committed tx: TX-0006-1780825519398  (total=6)
node3  | 09:45:19 [node3] INFO [PBFT] ✓ CONSENSUS REACHED  seq=6  tx=TX-0006-1780825519398
node3  | 09:45:19 [node3] INFO [PBFT] Sent COMMIT  seq=6
node3  | 09:45:19 [node3] WARNING [PBFT] BAD SIGNATURE on PRE-PREPARE from node5  seq=6 — IGNORED
node3  | 09:45:20 [node3] INFO [PBFT] Accepted PRE-PREPARE seq=7 from node5
node3  | 09:45:20 [node3] INFO [PBFT] PREPARE quorum reached seq=7 (3 votes)
node3  | 09:45:20 [node3] INFO [PBFT] PREPARE quorum reached seq=7 (4 votes)
node3  | 09:45:20 [node3] INFO [PBFT] Sent PREPARE  seq=7
node3  | 09:45:20 [node3] INFO [PBFT] PREPARE quorum reached seq=7 (5 votes)
node3  | 09:45:20 [node3] INFO [PBFT] PREPARE quorum reached seq=7 (6 votes)
node3  | 09:45:20 [node3] INFO [LEDGER] Committed tx: TX-0007-1780825520400  (total=7)
node3  | 09:45:20 [node3] INFO [PBFT] ✓ CONSENSUS REACHED  seq=7  tx=TX-0007-1780825520400
node3  | 09:45:20 [node3] INFO [PBFT] Sent COMMIT  seq=7
node3  | 09:45:20 [node3] INFO [PBFT] Sent COMMIT  seq=7
node3  | 09:45:20 [node3] INFO [PBFT] Sent COMMIT  seq=7
node3  | 09:45:20 [node3] INFO [PBFT] Sent COMMIT  seq=7
node3  | 09:45:21 [node3] INFO [PBFT] Accepted PRE-PREPARE seq=8 from node5
node3  | 09:45:21 [node3] INFO [PBFT] PREPARE quorum reached seq=8 (3 votes)
node3  | 09:45:21 [node3] INFO [PBFT] PREPARE quorum reached seq=8 (4 votes)
node3  | 09:45:21 [node3] INFO [PBFT] PREPARE quorum reached seq=8 (5 votes)
node3  | 09:45:21 [node3] INFO [PBFT] Sent PREPARE  seq=8
node3  | 09:45:21 [node3] INFO [PBFT] PREPARE quorum reached seq=8 (6 votes)
node3  | 09:45:21 [node3] INFO [LEDGER] Committed tx: TX-0008-1780825521403  (total=8)
node3  | 09:45:21 [node3] INFO [PBFT] ✓ CONSENSUS REACHED  seq=8  tx=TX-0008-1780825521403
node3  | 09:45:21 [node3] INFO [PBFT] Sent COMMIT  seq=8
node3  | 09:45:21 [node3] INFO [PBFT] Sent COMMIT  seq=8
node3  | 09:45:21 [node3] INFO [PBFT] Sent COMMIT  seq=8
node3  | 09:45:21 [node3] INFO [PBFT] Sent COMMIT  seq=8
node3  | 09:45:22 [node3] INFO [PBFT] Accepted PRE-PREPARE seq=9 from node5
node3  | 09:45:22 [node3] INFO [PBFT] PREPARE quorum reached seq=9 (3 votes)
node3  | 09:45:22 [node3] INFO [PBFT] Sent PREPARE  seq=9
node3  | 09:45:22 [node3] INFO [PBFT] Sent COMMIT  seq=9
node3  | 09:45:22 [node3] INFO [PBFT] PREPARE quorum reached seq=9 (4 votes)
node3  | 09:45:22 [node3] INFO [LEDGER] Committed tx: TX-0009-1780825522406  (total=9)
node3  | 09:45:22 [node3] INFO [PBFT] ✓ CONSENSUS REACHED  seq=9  tx=TX-0009-1780825522406
node3  | 09:45:22 [node3] INFO [PBFT] Sent COMMIT  seq=9
node3  | 09:45:23 [node3] INFO [PBFT] Accepted PRE-PREPARE seq=10 from node5
node3  | 09:45:23 [node3] INFO [PBFT] PREPARE quorum reached seq=10 (3 votes)
node3  | 09:45:23 [node3] INFO [PBFT] Sent PREPARE  seq=10
node3  | 09:45:23 [node3] INFO [PBFT] PREPARE quorum reached seq=10 (4 votes)
node3  | 09:45:23 [node3] INFO [PBFT] PREPARE quorum reached seq=10 (5 votes)
node3  | 09:45:23 [node3] INFO [PBFT] PREPARE quorum reached seq=10 (6 votes)
node3  | 09:45:23 [node3] INFO [PBFT] Sent COMMIT  seq=10
node3  | 09:45:23 [node3] INFO [LEDGER] Committed tx: TX-0010-1780825523409  (total=10)
node3  | 09:45:23 [node3] INFO [PBFT] ✓ CONSENSUS REACHED  seq=10  tx=TX-0010-1780825523409
node3  | 09:45:23 [node3] INFO [PBFT] Sent COMMIT  seq=10
node3  | 09:45:23 [node3] INFO [PBFT] Sent COMMIT  seq=10
node3  | 09:45:23 [node3] INFO [PBFT] Sent COMMIT  seq=10
node3  | 09:45:24 [node3] INFO [PBFT] Accepted PRE-PREPARE seq=11 from node5
node3  | 09:45:24 [node3] INFO [PBFT] Sent PREPARE  seq=11
node3  | 09:45:24 [node3] INFO [PBFT] PREPARE quorum reached seq=11 (3 votes)
node3  | 09:45:24 [node3] INFO [PBFT] PREPARE quorum reached seq=11 (4 votes)
node3  | 09:45:24 [node3] INFO [PBFT] PREPARE quorum reached seq=11 (5 votes)
node3  | 09:45:24 [node3] INFO [LEDGER] Committed tx: TX-0011-1780825524412  (total=11)
node3  | 09:45:24 [node3] INFO [PBFT] ✓ CONSENSUS REACHED  seq=11  tx=TX-0011-1780825524412
node3  | 09:45:24 [node3] INFO [PBFT] Sent COMMIT  seq=11
node3  | 09:45:24 [node3] INFO [PBFT] Sent COMMIT  seq=11
node3  | 09:45:24 [node3] INFO [PBFT] Sent COMMIT  seq=11
node3  | 09:45:25 [node3] INFO [PBFT] Accepted PRE-PREPARE seq=12 from node5
node3  | 09:45:25 [node3] INFO [PBFT] PREPARE quorum reached seq=12 (3 votes)
node3  | 09:45:25 [node3] INFO [PBFT] Sent PREPARE  seq=12
node3  | 09:45:25 [node3] INFO [PBFT] Sent COMMIT  seq=12
node3  | 09:45:25 [node3] INFO [PBFT] PREPARE quorum reached seq=12 (4 votes)
node3  | 09:45:25 [node3] INFO [PBFT] PREPARE quorum reached seq=12 (5 votes)
node3  | 09:45:25 [node3] INFO [PBFT] PREPARE quorum reached seq=12 (6 votes)
node3  | 09:45:25 [node3] INFO [LEDGER] Committed tx: TX-0012-1780825525415  (total=12)
node3  | 09:45:25 [node3] INFO [PBFT] ✓ CONSENSUS REACHED  seq=12  tx=TX-0012-1780825525415
node3  | 09:45:25 [node3] INFO [PBFT] Sent COMMIT  seq=12
node3  | 09:45:25 [node3] INFO [PBFT] Sent COMMIT  seq=12
node3  | 09:45:25 [node3] INFO [PBFT] Sent COMMIT  seq=12
node3  | 09:45:26 [node3] INFO [PBFT] Accepted PRE-PREPARE seq=13 from node5
node3  | 09:45:26 [node3] INFO [PBFT] Sent PREPARE  seq=13
node3  | 09:45:26 [node3] INFO [PBFT] PREPARE quorum reached seq=13 (3 votes)
node3  | 09:45:26 [node3] INFO [PBFT] PREPARE quorum reached seq=13 (4 votes)
node3  | 09:45:26 [node3] INFO [PBFT] PREPARE quorum reached seq=13 (5 votes)
node3  | 09:45:26 [node3] INFO [PBFT] PREPARE quorum reached seq=13 (6 votes)
node3  | 09:45:26 [node3] INFO [LEDGER] Committed tx: TX-0013-1780825526418  (total=13)
node3  | 09:45:26 [node3] INFO [PBFT] ✓ CONSENSUS REACHED  seq=13  tx=TX-0013-1780825526418
node3  | 09:45:26 [node3] INFO [PBFT] Sent COMMIT  seq=13
node3  | 09:45:26 [node3] INFO [PBFT] Sent COMMIT  seq=13
node3  | 09:45:26 [node3] INFO [PBFT] Sent COMMIT  seq=13
node3  | 09:45:26 [node3] INFO [PBFT] Sent COMMIT  seq=13
node3  | 09:45:27 [node3] INFO [PBFT] Accepted PRE-PREPARE seq=14 from node5
node3  | 09:45:27 [node3] INFO [PBFT] PREPARE quorum reached seq=14 (3 votes)
node3  | 09:45:27 [node3] INFO [PBFT] PREPARE quorum reached seq=14 (4 votes)
node3  | 09:45:27 [node3] INFO [PBFT] PREPARE quorum reached seq=14 (5 votes)
node3  | 09:45:27 [node3] INFO [PBFT] Sent PREPARE  seq=14
node3  | 09:45:27 [node3] INFO [LEDGER] Committed tx: TX-0014-1780825527420  (total=14)
node3  | 09:45:27 [node3] INFO [PBFT] ✓ CONSENSUS REACHED  seq=14  tx=TX-0014-1780825527420
node3  | 09:45:27 [node3] INFO [PBFT] Sent COMMIT  seq=14
